Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Topping from meat and vegetable pizza,Topping from meat and vegetable pizza,14620330,4,165,1,7.66,61,35.2,1,125,4123,3.655,17.55,84,0.268,20.4,4.09,0.144,49.29,8,2.445,9.55,22.03,286,0.093,0.97,27,285,322,837,2.5,98,0.8,0.272,11,1.42,7.4
Carrots,"Carrots, frozen, cooked, no added fat",73102212,3705,8174,0,7.71,0,8.6,3.3,674,0,0.415,0.58,0,0.037,0.6,4.07,0.03,90.05,0.031,0.333,0.12,0.68,35,0.082,0.53,11,31,191,175,0.35,843,0,0.084,2.3,1.01,13.6
Sweet potatoes,"Sweet potatoes, baby food, strained",76209010,0,3863,0,13.2,0,13.1,1.5,0,0,0.358,1.1,0,0.033,0.7,4.05,0.028,84.8,0.004,0.044,0.021,0.1,16,0.081,0.37,13,24,263,22,0.21,322,0,0.093,9.9,0.52,1.4
Spaghetti sauce with poultry and added vegetables,Spaghetti sauce with poultry and added vegetables,27141035,2,318,18,6.04,18,23.7,1.4,216,7891,4.497,6.33,3,0.096,6.7,4.02,0.041,84.04,0.692,0.657,0.448,2.29,23,0.106,0.83,20,77,304,329,0.58,30,0.15,0.228,9.4,1.62,9.4
Spaghetti sauce with seafood and added vegetables,Spaghetti sauce with seafood and added vegetables,27150155,2,318,18,6.59,30,28.4,1.4,216,7891,2.889,5.34,14,0.072,10.8,4.02,0.029,85.14,0.264,0.434,0.165,1.26,39,0.121,1.1,20,79,317,353,0.47,41,1.82,0.142,9.8,1.79,9.5
Spaghetti sauce with meat and added vegetables,Spaghetti sauce with meat and added vegetables,27162060,2,318,18,6.04,18,25.8,1.4,216,7891,3.733,5.94,1,0.097,5.6,4.02,0.035,82.47,1.641,0.432,1.329,4.14,24,0.104,1.11,18,66,307,335,1.37,28,0.51,0.208,9.4,1.6,9.8
Snowpeas,"Snowpeas, raw",75127750,44,630,0,7.55,0,17.4,2.6,740,0,0.6,2.8,0,0.08,0.7,4,0.15,88.89,0.021,0.089,0.039,0.2,43,0.079,2.08,24,53,200,4,0.27,54,0,0.16,60,0.39,25
Nutritional powder mix,"Nutritional powder mix, light (Muscle Milk)",95202010,0,0,0,22,10,81.6,2,0,0,14,50,1050,1.2,33.8,4,1,12,8.474,1.239,1.087,12,1200,1.4,12,280,700,840,250,10,1050,4.2,1.4,42,9.45,0.5
Nutritional powder mix,"Nutritional powder mix, protein, light, NFS",95230020,0,0,0,22,10,81.6,2,0,0,14,50,1050,1.2,33.8,4,1,12,8.474,1.239,1.087,12,1200,1.4,12,280,700,840,250,10,1050,4.2,1.4,42,9.45,0.5
Pecans,"Pecans, NFS",42112000,0,29,9,13.86,0,40.5,9.6,17,0,1.167,9.17,0,0.13,3.8,3.97,0.66,3.52,40.801,21.614,6.18,71.97,70,1.2,2.53,121,277,410,0,4.53,3,0,0.21,1.1,1.4,3.5
Pecans,"Pecans, unroasted",42112100,0,29,9,13.86,0,40.5,9.6,17,0,1.167,9.17,0,0.13,3.8,3.97,0.66,3.52,40.801,21.614,6.18,71.97,70,1.2,2.53,121,277,410,0,4.53,3,0,0.21,1.1,1.4,3.5
Carrots,"Carrots, frozen, cooked, fat added, NS as to fat type",73102222,3597,7942,0,7.49,2,8.6,3.2,654,0,0.403,0.57,10,0.036,0.6,3.95,0.029,87.76,0.962,1.099,0.837,3.2,34,0.079,0.52,11,30,186,179,0.34,830,0,0.098,2.2,1.27,15.5
Carrots,"Carrots, frozen, cooked with oil",73102224,3597,7937,0,7.48,0,8.3,3.2,654,0,0.403,0.56,0,0.036,0.6,3.95,0.029,87.44,1.246,1.52,0.513,3.56,34,0.079,0.52,11,30,186,170,0.34,819,0,0.081,2.2,1.32,16.6
Carrots,"Carrots, frozen, cooked with butter or margarine",73102225,3597,7947,0,7.49,4,8.8,3.2,654,0,0.404,0.58,21,0.037,0.6,3.95,0.029,88.09,0.678,0.678,1.161,2.83,35,0.079,0.51,11,31,187,189,0.34,840,0,0.114,2.2,1.23,14.4
Pizza rolls,Pizza rolls,58108050,7,198,0,53.39,6,13.5,1.3,4,6186,1.966,9.19,47,0.201,12.7,3.94,0.17,24.06,4.052,3.003,2.625,10.5,132,0.138,1.9,21,144,317,631,0.77,63,0.27,0.066,0,1.67,4.8
Roll with meat and/or shrimp,"Roll with meat and/or shrimp, vegetables and rice paper, not fried",58110200,912,2239,3,17.12,22,24.9,2.1,163,0,1.791,5.53,10,0.07,8,3.91,0.071,72.7,1.238,0.58,0.458,2.63,35,0.126,0.63,33,87,219,389,0.6,234,0.19,0.184,7.6,0.72,28.7
Carrot juice,"Carrot juice, 100%",73105010,4342,9303,0,9.28,0,9.9,0.8,333,2,0.386,0.95,0,0.055,0.6,3.91,0.092,88.87,0.007,0.071,0.027,0.15,24,0.046,0.46,14,42,292,66,0.18,956,0,0.217,8.5,1.16,15.5
Pecans,"Pecans, unsalted",42112210,0,28,9,13.44,0,39.3,9.3,16,0,1.132,8.9,0,0.126,3.7,3.85,0.64,3.41,40.833,22.201,6.405,72.81,68,1.164,2.46,117,269,398,0,4.39,3,0,0.204,1.1,1.71,6.9
Cabbage,"Cabbage, red, raw",75105000,0,670,0,7.37,0,17.1,2.1,329,20,0.418,1.43,0,0.069,0.6,3.83,0.064,90.39,0.012,0.08,0.021,0.16,45,0.017,0.8,16,30,243,27,0.22,56,0,0.209,57,0.11,38.2
Taro chips,Taro chips,71980200,0,66,37,68.1,0,44.3,7.2,0,0,0.515,2.3,0,0.029,1.8,3.82,0.174,2,4.43,12.88,6.43,24.9,60,0.28,1.2,84,131,755,342,0.38,7,0,0.438,5,11.34,18
Pecans,"Pecans, salted",42112200,0,28,9,13.31,0,38.9,9.2,16,0,1.121,8.81,0,0.125,3.6,3.81,0.634,3.38,40.429,21.981,6.341,72.09,68,1.152,2.44,116,266,394,383,4.35,3,0,0.202,1.1,1.69,6.9
Salsa,"Salsa, NFS",74402100,0,288,0,6.74,0,12.8,1.8,211,6310,1.12,1.44,0,0.032,0.9,3.81,0.035,89.3,0.018,0.078,0.021,0.19,28,0.065,0.42,15,32,258,656,0.2,24,0,0.176,1.9,1.22,4.2
Salsa,"Salsa, red, commercially-prepared",74402150,0,288,0,6.74,0,12.8,1.8,211,6310,1.12,1.44,0,0.032,0.9,3.81,0.035,89.3,0.018,0.078,0.021,0.19,28,0.065,0.42,15,32,258,656,0.2,24,0,0.176,1.9,1.22,4.2
Salsa,"Salsa, red, homemade",74402200,0,288,0,6.74,0,12.8,1.8,211,6310,1.12,1.44,0,0.032,0.9,3.81,0.035,89.3,0.018,0.078,0.021,0.19,28,0.065,0.42,15,32,258,656,0.2,24,0,0.176,1.9,1.22,4.2
Cream cheese,"Cream cheese, regular, plain",14301010,1,59,2,5.52,101,26.8,0,7,0,0.091,6.15,303,0.23,8.6,3.76,0.023,52.62,8.907,1.483,20.213,34.44,97,0.018,0.11,9,107,132,314,0.5,308,0.22,0.056,0,0.86,2.1
Ravioli,"Ravioli, cheese-filled, with tomato sauce, canned",58131523,0,124,0,13.64,3,9.5,1.3,16,8625,1.06,2.48,0,0.08,3.5,3.72,0.074,80.91,0.418,0.182,0.723,1.45,33,0.142,0.74,15,50,232,306,0.36,10,0.03,0.102,0,0.85,2.3
Asian stir fry vegetables,"Asian stir fry vegetables, cooked, no added fat",75340010,880,2345,1,9.83,0,17.3,2.9,667,0,0.673,2.14,0,0.081,1,3.71,0.056,86.74,0.022,0.11,0.066,0.28,38,0.077,1.1,18,47,266,136,0.39,232,0,0.175,34.1,0.65,38.2
Fish sauce,Fish sauce,27150210,0,0,0,3.64,0,13.2,0,0,0,2.313,5.06,4,0.057,9.1,3.64,0.012,71.07,0.002,0.003,0.003,0.01,43,0.05,0.78,175,7,288,7851,0.2,4,0.48,0.396,0.5,0,0
Carrots,"Carrots, baby food, strained",76201010,2602,5575,0,6,0,6.9,1.7,0,0,0.463,0.8,0,0.04,0.2,3.64,0.023,92.3,0.004,0.047,0.018,0.1,22,0.041,0.37,9,20,196,69,0.15,573,0,0.073,5.7,0.52,14.4
Asian stir fry vegetables,"Asian stir fry vegetables, cooked, fat added",75340020,854,2282,1,9.55,2,17,2.9,647,0,0.654,2.09,10,0.08,1,3.6,0.055,84.54,0.954,0.883,0.786,2.82,37,0.075,1.08,17,46,258,142,0.38,236,0,0.186,33.1,0.92,39.4
Pine nuts,Pine nuts,42113000,0,17,0,13.08,0,55.8,3.7,9,0,4.387,13.69,0,0.227,0.7,3.59,0.364,2.28,18.764,34.071,4.899,68.37,16,1.324,5.53,251,575,597,2,6.45,1,0,0.094,0.8,9.33,53.9
Cereal,"Cereal, toasted oat",57401100,0,0,0,75.96,0,14.9,10.7,132,0,17.857,10.71,1071,1.518,47,3.57,1.339,3.68,1.786,1.786,0.926,5.36,357,0.429,32.14,143,536,607,571,13.39,1071,5.36,1.786,21.4,0.43,1.3
Nutritional powder mix,"Nutritional powder mix, high protein (Herbalife)",95201500,0,0,0,20.38,0,179.7,0,0,0,25,53.57,1875,2.125,87.5,3.57,2.143,8.3,2.907,7.268,0,10.71,714,2.5,22.5,500,1429,1000,1214,18.75,1875,6.43,2.5,75,16.88,125
Nutritional powder mix,"Nutritional powder mix, high protein, NFS",95220010,0,0,0,20.38,0,179.7,0,0,0,25,53.57,1875,2.125,87.5,3.57,2.143,8.3,2.907,7.268,0,10.71,714,2.5,22.5,500,1429,1000,1214,18.75,1875,6.43,2.5,75,16.88,125
Spaghetti sauce,"Spaghetti sauce, fat free",74404060,0,259,3,5.31,0,9.9,1.5,24,13895,0.991,1.2,0,0.065,0.6,3.56,0.024,91.28,0.045,0.121,0.041,0.3,14,0.115,0.96,15,27,297,474,0.22,22,0,0.098,7,1.44,2.8
Pasta with tomato-based sauce and cheese,Pasta with tomato-based sauce and cheese,58146150,0,238,0,14.98,6,11.1,1.7,118,7734,2.933,3.74,14,0.1,10.6,3.54,0.104,74.88,1.496,1.35,1.289,4.83,50,0.083,0.9,18,59,212,403,0.45,33,0.05,0.124,1.2,1.77,11.1
Tomato aspic,Tomato aspic,74501010,0,209,0,4.7,0,6.6,0.3,48,7008,0.533,2.57,0,0.067,1.3,3.54,0.08,91.57,0.006,0.023,0.02,0.26,10,0.082,0.34,10,16,179,201,0.09,18,0,0.059,58.1,0.26,1.8
Oyster stew,Oyster stew,28355310,0,9,0,4.24,28,33.9,0,0,0,0.378,4.25,70,0.123,8.1,3.52,0.041,84.95,1.189,0.343,2.94,5.08,106,0.933,1.58,14,100,161,321,13.78,70,3.01,0.046,0,0.4,0.8
Cheese,"Cheese, Muenster, reduced fat",14107250,0,8,0,3.5,63,15.4,0,0,0,0.1,24.7,174,0.36,14.5,3.5,0.01,50.5,5.09,0.65,10.95,17.6,529,0.031,0.41,27,468,134,600,2.81,175,1.47,0.06,0,0.15,1.5
Cheese spread,"Cheese spread, cream cheese, regular",14420200,0,19,0,3.5,90,27.2,0,0,0,0.95,7.1,300,0.19,2.7,3.5,0.02,58.5,8.071,1.033,18.02,28.6,71,0.015,1.13,6,91,112,436,0.51,302,0.4,0.04,0,0.77,2.4
Stuffed green pepper,"Stuffed green pepper, Puerto Rican style",27319010,10,186,4,15.56,23,24.9,2.1,174,4551,2.75,8.63,1,0.141,9.1,3.48,0.163,66.08,2.942,0.559,2.608,7.23,45,0.135,1.91,23,98,315,634,1.75,17,0.58,0.213,37.4,0.76,6.5
Blue or roquefort cheese dressing,Blue or roquefort cheese dressing,83101000,1,4,1,4.77,31,17.9,0.4,26,0,0.1,1.37,14,0.1,1,3.48,0.01,39.71,13.279,27.545,8.275,51.1,37,0.009,0.09,8,74,88,642,0.21,14,0.27,0.037,0.7,4.28,85.9
Curry sauce,Curry sauce,81312100,0,208,2,4.96,1,9.6,1.4,19,11116,0.851,1.36,2,0.062,1.1,3.41,0.023,83.91,2.682,2.593,2.48,8.14,21,0.111,0.9,15,35,267,384,0.26,19,0.03,0.083,5.8,1.87,9.3
Carrots,"Carrots, baby food, NS as to strained or junior",76201000,2642,5660,0,6.6,0,7.4,1.7,115,0,0.48,0.8,0,0.04,0.2,3.4,0.024,91.65,0.006,0.07,0.027,0.15,22,0.044,0.38,10,20,199,59,0.16,582,0,0.076,5.6,0.52,13.4
Squash,"Squash, baby food, strained",76205010,242,896,9,5.73,0,7.6,0.9,3527,0,0.683,0.81,0,0.048,0.2,3.37,0.029,92.66,0.02,0.04,0.02,0.2,24,0.03,0.32,14,21,185,5,0.19,85,0,0.07,0.3,0.55,4.7
Coconut milk,"Coconut milk, used in cooking",42401010,0,0,0,5.54,0,8.5,2.2,0,0,0.76,2.29,0,0,6.2,3.34,0.026,67.62,1.014,0.261,21.14,23.84,16,0.266,1.64,37,100,263,15,0.67,0,0,0.033,2.8,0.15,0.1
Rice,"Rice, cooked with coconut milk",58161200,0,0,0,26.55,0,6.1,1.9,0,0,1.68,3.57,0,0.013,8.5,3.34,0.17,51.52,0.781,0.235,15.17,17.23,19,0.25,2.34,33,103,219,182,0.78,0,0,0.062,1.3,0.14,0.1
Lasagna with meat,Lasagna with meat,58130011,8,249,2,16.17,16,17.2,1.6,197,3764,1.602,7.45,20,0.056,16.6,3.33,0.056,69.78,1.798,0.402,2.322,4.97,82,0.097,0.73,20,115,207,390,0.89,42,0.83,0.139,4.4,0.98,6.6
Pimiento,Pimiento,75226700,291,1804,0,6.24,0,7.7,2.3,448,0,0.753,1.35,0,0.073,0.2,3.32,0.021,91.55,0.024,0.197,0.055,0.37,7,0.06,2.06,7,21,193,17,0.23,163,0,0.263,103.9,0.84,10.2
Squash,"Squash, baby food, NS as to strained or junior",76205000,242,896,9,5.73,0,7.6,0.9,3527,0,0.683,0.81,0,0.048,0.2,3.3,0.029,92.66,0.02,0.04,0.02,0.2,24,0.03,0.32,14,21,185,5,0.19,85,0,0.07,0.3,0.55,4.7
Tomato juice,"Tomato juice, 100%, low sodium",74301150,210,830,0,4.59,0,7.2,0.8,80,9660,0.73,0.6,0,0.03,0.5,3.28,0.04,93.5,0.016,0.042,0.014,0.1,11,0.2,0.42,11,17,193,58,0.2,78,0,0.14,27.7,0.32,5.3
Tomato and vegetable juice,"Tomato and vegetable juice, 100%, low sodium",74303100,210,830,0,4.59,0,7.2,0.8,80,9660,0.73,0.6,0,0.03,0.5,3.28,0.04,93.5,0.016,0.042,0.014,0.1,11,0.2,0.42,11,17,193,58,0.2,78,0,0.14,27.7,0.32,5.3
Carrot soup,"Carrot soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",73501000,1105,2664,0,5.01,3,8.2,1,114,0,0.471,1.6,17,0.087,0.8,3.27,0.046,91.65,0.136,0.059,0.35,0.76,50,0.024,0.18,8,44,169,209,0.24,285,0.14,0.062,2.4,0.26,14.3
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",14640020,0,12,0,30.04,31,14.9,1.4,28,0,2.86,16.81,58,0.305,28.4,3.25,0.307,39.24,2.606,1.468,5.672,10.52,437,0.091,2.03,27,281,95,539,2.35,60,0.58,0.089,0,0.33,0.7
Lentil curry,Lentil curry,41311030,107,374,1,12.28,0,19.1,3.4,73,4468,0.79,3.67,1,0.058,1.5,3.24,0.07,76.73,1.962,2.027,1.295,5.61,25,0.153,1.44,23,78,292,383,0.59,36,0.01,0.13,7.4,1.09,9.4
Squash,"Squash, baby food, junior",76205020,242,896,9,5.73,0,7.6,0.9,3527,0,0.683,0.81,0,0.048,0.2,3.24,0.029,92.66,0.02,0.04,0.02,0.2,24,0.03,0.32,14,21,185,5,0.19,85,0,0.07,0.3,0.55,4.7
Vegetable curry,Vegetable curry,75440600,215,662,1,8.72,0,12.3,1.8,139,4602,0.784,1.59,1,0.051,0.7,3.23,0.048,82.77,1.872,1.851,1.263,5.23,21,0.086,0.71,16,40,286,387,0.27,65,0.01,0.136,11.7,1.1,11.2
Rice cereal with apples,"Rice cereal with apples, baby food, dry, instant",57805080,0,4,3,86.89,0,10.1,3,8,0,20,6.7,0,1.5,11.6,3.22,1.3,3.2,0.615,0.92,0.503,2.4,850,0.373,37,15,423,410,16,1.4,0,0,0.09,0,0.22,1.5
Topping from meat pizza,Topping from meat pizza,14620320,0,141,0,5.65,68,36.8,0.7,69,4601,3.973,19.19,94,0.29,22.6,3.2,0.145,46.9,8.921,2.698,10.647,24.52,314,0.081,0.97,27,309,302,934,2.74,105,0.89,0.244,0.7,1.49,6.5
Pumpkin,"Pumpkin, canned, cooked",73201013,4655,6743,0,7.86,2,9.7,2.8,0,0,0.357,1.08,10,0.053,0.4,3.2,0.022,87.68,0.971,0.792,0.865,2.82,26,0.104,1.35,22,34,200,15,0.17,766,0,0.071,3.7,1.33,17.9
Cheese flavored corn snacks,Cheese flavored corn snacks,54401055,0,0,0,53.53,7,11.6,1.4,2,0,4.706,5.85,0,0.159,8.1,3.19,0.16,1.57,10.052,17.821,5.36,36.01,56,0.032,2.53,17,133,182,942,0.4,0,0.48,0.079,0,4.18,1.3
Cheese flavored corn snacks (Cheetos),Cheese flavored corn snacks (Cheetos),54401081,0,0,0,53.53,7,11.6,1.4,2,0,4.706,5.85,0,0.159,8.1,3.19,0.16,1.57,10.052,17.821,5.36,36.01,56,0.032,2.53,17,133,182,942,0.4,0,0.48,0.079,0,4.18,1.3
Carrots,"Carrots, baby food, junior",76201020,2682,5745,0,7.2,0,8,1.7,230,0,0.497,0.8,0,0.041,0.2,3.16,0.024,91,0.009,0.093,0.036,0.2,23,0.047,0.39,11,20,202,49,0.18,591,0,0.08,5.5,0.52,12.5
Egg Salad,"Egg Salad, made with any type of fat free dressing",32103050,0,9,8,4.29,291,228,0.4,274,0,0.05,9.8,115,0.401,24,3.14,0.051,75.23,3.578,1.111,2.666,8.82,40,0.014,0.95,8,134,109,420,0.82,116,0.86,0.094,0,0.81,5.7
Vegetables,"Vegetables, stew type, cooked, no added fat",75317020,1029,2466,0,15.51,0,11.3,2,91,0,1.021,1.49,0,0.035,0.3,3.14,0.079,81.62,0.008,0.06,0.032,0.15,19,0.13,0.32,18,42,333,162,0.26,248,0,0.211,9.2,0.24,5.8
Tomato noodle soup,"Tomato noodle soup, canned, prepared with water or ready-to-serve",74604500,0,87,0,11.82,7,11.1,0.7,43,4025,0.829,1.66,1,0.039,7,3.13,0.086,84.92,0.194,0.194,0.146,0.67,9,0.046,0.58,10,30,216,141,0.23,9,0.02,0.043,4.7,0.17,1.1
Egg salad,"Egg salad, made with Italian dressing",32103040,0,13,8,3.38,295,232.6,0,279,3,0.078,10.02,117,0.405,24.7,3.11,0.056,72.01,4.383,3.333,3.188,12.74,42,0.014,0.99,9,139,117,456,0.84,118,0.88,0.109,0.1,1.26,11.8
Classic mixed vegetables,"Classic mixed vegetables, frozen, cooked, no added fat",75311012,965,2076,0,13.05,0,24,4.4,635,0,0.848,2.85,0,0.12,0.3,3.11,0.071,82.98,0.01,0.072,0.031,0.15,25,0.083,0.82,22,51,168,151,0.49,213,0,0.074,3.2,0.38,23.4
Carrot with rice soup,"Carrot with rice soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",73501010,1038,2502,0,10.12,3,8.1,1,107,0,0.726,1.98,16,0.084,1.7,3.08,0.074,86.18,0.142,0.068,0.341,0.75,49,0.037,0.44,10,49,166,197,0.3,267,0.13,0.069,2.2,0.26,13.4
Mixed vegetables,"Mixed vegetables, garden vegetables, baby food, strained",76407010,1117,4989,0,7.88,0,7.9,1,178,0,0.566,1.01,0,0.042,0.3,3.08,0.014,90.6,0,0,0,0.11,17,0.036,0.31,13,30,112,40,0.24,462,0,0.114,3.3,0.3,5.7
Broccoflower,"Broccoflower, cooked",75208720,0,94,0,6.15,2,57.8,3.2,40,0,0.704,2.98,11,0.098,0.6,3.06,0.073,86.72,0.999,0.942,0.798,2.94,34,0.041,0.74,20,63,303,150,0.65,19,0,0.219,75.5,0.35,22.8
Corn,"Corn, frozen, cooked, no added fat",75216112,17,50,122,19.24,0,21.9,2.4,682,0,1.307,2.54,0,0.062,0.7,3.06,0.03,76.8,0.196,0.317,0.103,0.67,3,0.048,0.47,28,79,232,117,0.63,10,0,0.099,3.5,0.07,0.3
Pasta,"Pasta, whole grain, with tomato-based sauce, home recipe",58146602,0,189,0,19.47,1,10,2.9,140,6115,3.507,3.78,0,0.081,19.5,3.04,0.092,74.13,0.272,0.54,0.208,1.6,20,0.156,1.27,37,82,203,204,0.79,15,0,0.132,1,1.27,7
Seaweed,"Seaweed, dried",75232000,0,171,0,52.39,0,64.6,5.6,0,0,6.511,31.84,0,1.946,7.3,3.04,1.195,6.68,0.351,1.091,1.356,4.01,372,3.355,24.95,482,85,1244,575,3.9,14,0,0.334,5,5,25
Vegetables,"Vegetables, stew type, cooked, fat added",75317010,999,2401,0,14.88,3,11.2,1.9,88,0,0.979,1.45,14,0.035,0.3,3.04,0.076,78.85,1.275,1.112,1.011,3.59,19,0.124,0.31,18,41,321,176,0.25,256,0,0.224,8.8,0.64,8.9
Pasta with sauce,"Pasta with sauce, meatless, school lunch",58146215,0,188,0,19.44,1,9.9,2.9,140,6087,3.5,3.78,0,0.081,19.3,3.03,0.092,73.98,0.272,0.541,0.207,1.6,20,0.155,1.26,37,82,203,88,0.79,16,0,0.131,1,1.27,7
Broccoflower,"Broccoflower, raw",75102600,0,93,0,6.09,0,57.1,3.2,42,0,0.734,2.95,0,0.102,0.6,3.03,0.08,89.79,0.028,0.133,0.047,0.3,33,0.041,0.73,20,62,300,23,0.64,8,0,0.222,88.1,0.04,20.2
Pepper,"Pepper, raw, NFS",75122000,21,704,176,5.13,0,5.5,1.8,240,0,0.655,0.91,0,0.048,0,3.03,0.056,93.3,0.008,0.095,0.058,0.22,9,0.049,0.37,11,22,188,3,0.17,67,0,0.247,97,0.79,6.5
Pepper,"Pepper, for use on a sandwich",89902050,21,704,176,5.13,0,5.5,1.8,240,0,0.655,0.91,0,0.048,0,3.03,0.056,93.3,0.008,0.095,0.058,0.22,9,0.049,0.37,11,22,188,3,0.17,67,0,0.247,97,0.79,6.5
Classic mixed vegetables,"Classic mixed vegetables, NS as to form, cooked",75311020,937,2020,0,12.68,2,23.6,4.3,617,0,0.824,2.78,10,0.117,0.3,3.02,0.069,80.9,0.942,0.845,0.751,2.68,25,0.08,0.8,21,50,164,156,0.48,218,0,0.088,3.1,0.66,25.1
Classic mixed vegetables,"Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type",75311022,937,2020,0,12.68,2,23.6,4.3,617,0,0.824,2.78,10,0.117,0.3,3.02,0.069,80.9,0.942,0.845,0.751,2.68,25,0.08,0.8,21,50,164,156,0.48,218,0,0.088,3.1,0.66,25.1
Classic mixed vegetables,"Classic mixed vegetables, frozen, cooked with oil",75311027,937,2015,0,12.67,0,23.3,4.3,617,0,0.824,2.77,0,0.116,0.3,3.02,0.069,80.57,1.226,1.266,0.427,3.05,24,0.08,0.8,21,49,164,146,0.47,207,0,0.072,3.1,0.71,26.2
Classic mixed vegetables,"Classic mixed vegetables, frozen, cooked with butter or margarine",75311028,937,2025,0,12.68,4,23.8,4.3,617,0,0.825,2.78,21,0.117,0.3,3.02,0.069,81.23,0.657,0.424,1.075,2.31,25,0.08,0.79,21,50,164,166,0.48,229,0,0.104,3.1,0.62,24
Brioche,Brioche,51167000,0,47,2,35.84,159,71.7,1.5,135,0,2.777,8.76,239,0.376,22.9,3.01,0.413,26.41,7.886,1.547,15.723,26.82,45,0.09,2.45,15,125,120,440,0.8,243,0.27,0.083,0,0.97,2.3
Pasta,"Pasta, whole grain, with tomato-based sauce, ready-to-heat",58146603,0,185,0,19.05,1,9.8,2.8,137,5982,3.431,3.7,0,0.079,19.1,2.97,0.09,72.52,1.025,1.275,0.451,3.38,19,0.152,1.24,36,80,199,340,0.77,15,0,0.129,0.9,1.46,9
Tortellini,"Tortellini, cheese-filled, meatless, with tomato sauce",58134620,0,187,0,23,18,8.5,1.6,101,5945,2.551,6.18,14,0.124,10.4,2.96,0.094,65.67,1.021,0.425,1.552,3.65,72,0.067,0.82,16,90,160,279,0.51,30,0.06,0.095,0.9,1.19,7
Egg salad,"Egg salad, made with mayonnaise-type salad dressing",32103020,0,10,9,3.93,299,235.1,0,285,0,0.051,10.07,118,0.411,24.4,2.95,0.054,71.56,4.262,3.63,3.281,12.83,41,0.013,0.96,8,139,107,385,0.84,119,0.88,0.097,0,1.13,8.9
Tomato rice soup,"Tomato rice soup, prepared with water",74605010,0,124,0,8.54,1,7.8,0.7,1,8591,0.411,0.82,1,0.02,0.9,2.95,0.024,88.52,0.235,0.525,0.2,1.06,11,0.055,0.31,2,13,129,319,0.2,12,0,0.03,5.8,0.86,1.5
Pasta with tomato-based sauce,"Pasta with tomato-based sauce, home recipe",58146222,0,188,0,19.88,1,9.9,1.8,95,6115,2.762,3.69,0,0.1,14.4,2.94,0.154,74.3,0.249,0.412,0.173,1.2,17,0.091,1.04,18,46,176,202,0.36,15,0,0.109,1,1.19,6.7
Bread,"Bread, chappatti or roti, wheat",51300175,0,0,0,46.13,0,7.8,9.7,10,0,4.61,7.85,0,0.18,26.6,2.93,0.36,35.43,2.091,0.761,3.311,9.2,36,0.229,2.2,56,158,196,298,1.54,0,0,0.28,0,0.55,3.3
Cream,"Cream, heavy",12130100,0,72,0,2.84,113,16.8,0,0,0,0.064,2.84,405,0.188,3,2.92,0.02,57.71,9.101,1.57,23.032,36.08,66,0.011,0.1,7,58,95,27,0.24,411,0.16,0.035,0.6,0.92,3.2
Crackers,"Crackers, flatbread",54305020,0,0,0,75.23,0,14.6,10.2,104,0,4.042,9.85,0,0.226,34.8,2.92,0.402,4.05,5.504,1.344,0.744,8.25,24,0.198,3.51,58,196,224,632,1.68,0,0,0.16,0,3.87,3.6
Pasta with tomato-based sauce,"Pasta with tomato-based sauce, ready-to-heat",58146223,0,184,0,19.44,1,9.7,1.8,93,5982,2.702,3.61,0,0.098,14.1,2.88,0.15,72.68,1.002,1.149,0.417,2.98,16,0.089,1.02,18,45,173,338,0.35,15,0,0.106,0.9,1.37,8.7
Queso Asadero,Queso Asadero,14131500,0,4,0,2.87,105,15.4,0,0,0,0.181,22.6,55,0.223,14.5,2.87,0.021,42.16,8.038,0.85,17.939,28.26,661,0.026,0.51,26,443,86,607,3.02,55,1,0.053,0,0.24,2.4
Pumpkin,"Pumpkin, cooked",73201020,3971,3071,0,6.77,2,8.8,0.5,1483,0,0.594,1.05,11,0.109,0.3,2.87,0.047,88.18,1.016,0.839,0.829,2.83,22,0.132,0.84,13,46,354,132,0.33,433,0,0.075,8,1.42,3.7
Calabaza,"Calabaza, cooked",73210010,3971,3071,0,6.77,2,8.8,0.5,1483,0,0.594,1.05,11,0.109,0.3,2.87,0.047,88.18,1.016,0.839,0.829,2.83,22,0.132,0.84,13,46,354,132,0.33,433,0,0.075,8,1.42,3.7
Tomato juice cocktail,Tomato juice cocktail,74302000,93,377,0,3.87,0,8.1,0.5,278,7119,0.722,0.93,0,0.033,0.2,2.84,0.05,94.09,0.06,0.076,0.088,0.31,14,0.068,0.28,11,19,185,169,0.12,35,0,0.071,54.3,1.02,6.1
