Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Meringues,Meringues,32401000,0,0,0,74.24,0,0.6,0,0,0,0.066,7.31,0,0.294,13.8,73.06,0.002,17.86,0,0,0,0.16,5,0.021,0.1,7,10,111,113,0.03,0,0.05,0.003,0,0,0
Pineapple,"Pineapple, dried",62120100,0,46,0,81.54,0,14.6,3.7,0,0,1.195,1.43,0,0.085,0.5,72.94,0.147,15.95,0.035,0.106,0.024,0.47,35,0.295,0.79,32,21,290,3,0.32,4,0,0.268,25.4,0.05,1.9
Milk,"Milk, malted, dry mix, not reconstituted",11830260,0,0,0,92.96,0,0,0,0,0,18.182,0,1365,0,0,72.73,1.364,1.28,0,0,0,0,909,1.818,16.36,218,0,0,530,13.64,1365,0,1.818,54.5,12.27,0
Marshmallow,"Marshmallow, candy-coated",91723020,0,0,0,87.85,0,0.1,0.1,0,0,0.05,1.16,0,0.007,1.3,72.68,0.001,10.54,0.051,0.03,0.036,0.24,2,0.065,0.17,1,5,4,52,0.03,0,0,0.002,0,0,0
Cranberries,"Cranberries, dried",62109100,0,27,0,82.8,0,8.3,5.3,138,0,0.548,0.17,0,0.028,0.6,72.56,0.013,15.79,0.298,0.182,0.088,1.09,9,0.063,0.39,4,8,49,5,0.1,2,0,0.038,0.2,2.1,7.6
Guava paste,Guava paste,91407100,0,51,0,72.56,0,1.2,1.1,0,1173,0.126,0.1,0,0.017,0.6,71.62,0.008,26.88,0.004,0.018,0.012,0.27,3,0.028,0.09,2,3,69,2,0.06,4,0,0.027,43.9,0.16,0.6
Sweet potato paste,Sweet potato paste,91407120,0,2833,0,75.04,0,3.2,0.8,0,0,0.161,0.41,0,0.027,0.5,71.58,0.017,24.05,0,0.018,0.009,0.27,9,0.033,0.25,6,10,70,9,0.07,236,0,0.05,3.8,0.28,0.6
Fondant,"Fondant, chocolate covered",91707010,0,0,0,80.4,0,2.8,2.1,4,0,0.575,2.2,0,0.058,1.6,71.42,0.026,7.7,3.09,0.3,5.46,9.3,17,0.43,1.56,63,95,168,26,0.45,0,0,0.01,0,0.13,2.1
Fudge,"Fudge, vanilla, with nuts",91713080,0,11,0,74.61,13,10,0.9,1,0,0.179,3,40,0.085,2.2,71,0.051,7.99,2.454,6.614,3.828,13.69,47,0.219,0.41,24,73,103,42,0.56,41,0.07,0.077,0.1,0.22,0.8
Licorice,Licorice,91721000,0,0,0,93.55,0,0,0.2,0,0,0.008,0,0,0.011,1.1,70,0.004,6.3,0,0,0,0.05,3,0.028,0.13,2,4,37,50,0.05,0,0,0.004,0,0,0
Dietetic or low calorie gumdrops,Dietetic or low calorie gumdrops,91770010,0,0,0,88.1,0,0,0,0,0,0,0,0,0,0.5,70,0,11.7,0.092,0.064,0.034,0.2,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Mexican chocolate,"Mexican chocolate, tablet",91705500,0,0,0,77.41,0,45.6,4,7,0,1.829,3.64,0,0.105,1.8,69.4,0.057,1.59,5.044,1.162,8.606,15.59,34,0.67,2.18,95,142,397,3,1.26,0,0,0.034,0.1,0.36,2.2
Fruit bar,"Fruit bar, with added vitamin C, baby food, toddler",67100110,0,102,76,76.61,0,14.5,2,81,0,0.334,0.82,0,0.046,1.4,68.65,0.041,19.09,0.092,0.664,0.364,2.24,18,0.242,1.05,9,23,312,14,0.14,12,0,0.201,179.9,0.96,2.5
Fruit snacks candy,"Fruit snacks candy, with high vitamin C",91708100,0,1,3,87.97,0,0.3,0,3,0,0.008,0.08,0,0.008,1.1,68.18,0.025,11.84,0,0,0,0,0,0.015,0,1,3,8,23,0.19,0,0,0.001,136.4,0,0
Agave liquid sweetener,Agave liquid sweetener,91302020,0,94,0,76.37,0,13.3,0.2,0,0,0.689,0.09,0,0.165,1.7,68.03,0.122,22.94,0,0,0,0.45,1,0.009,0.09,1,1,4,4,0.01,8,0,0.234,17,0.98,22.5
Papaya,"Papaya, dried",62114110,3,364,782,75.43,0,16.2,4.5,118,2428,0.853,1.25,0,0.073,1.9,67.55,0.043,21.42,0.191,0.154,0.215,0.84,54,0.123,0.69,56,27,484,22,0.22,62,0,0.091,32.4,0.8,6.9
Blueberries,"Blueberries, dried",62105000,0,84,0,80,0,18.5,7.5,208,0,1.154,2.5,0,0.127,0.6,67.5,0.092,14.8,0.405,1.3,0.2,2.5,19,0.16,0.9,18,36,214,3,0.49,7,0,0.152,23.8,2.35,59.4
Cherries,"Cherries, dried",62106000,0,1697,0,80.45,0,14.7,2.5,173,0,0.867,1.25,0,0.101,0.4,67.15,0.058,16.6,0.177,0.194,0.146,0.73,38,0.229,0.68,22,36,376,13,0.25,141,0,0.101,19.3,0.17,5.1
Butterscotch morsels,Butterscotch morsels,91702010,0,0,0,67.1,0,10.9,0,0,0,0.049,2.2,0,0.075,1.3,67.1,0.015,0.75,2.271,1.041,24.1,29.05,34,0.003,0.08,5,31,64,89,0.11,0,0.1,0.016,0.1,0.68,6.5
3 MUSKETEERS Bar,3 MUSKETEERS Bar,91726420,0,0,0,77.77,5,12.2,1.5,1,0,0.23,2.6,20,0.056,1.9,66.89,0.034,5.8,2.373,0.316,8.646,12.75,54,0.155,0.67,29,69,133,194,0.55,20,0.16,0.015,0.2,0.98,2.9
Coffee,"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted",92193005,0,0,0,86.28,0,0,0,0,0,0,0,0,0,0,66.67,0,0.16,0,0,13.333,13.33,0,0,0,0,0,57,333,0,0,0,0,0,0,0
Fudge,"Fudge, chocolate, chocolate-coated",91713010,0,7,0,71.51,17,20.8,2.2,5,0,0.239,3.97,48,0.149,3.1,66.63,0.052,7.32,4.216,0.674,10.066,16.18,91,0.378,1.94,44,112,205,55,1.47,48,0.29,0.019,0,0.28,2.7
Toffee,"Toffee, plain",91760000,0,2,0,78.17,7,8.1,0,0,0,0.15,4.67,11,0.26,1.8,66.5,0.105,7.11,1.565,3.531,2.514,8.22,140,0.018,0.14,17,116,217,249,0.45,12,0.3,0.057,0.4,0.47,1.8
Fruit mixture,"Fruit mixture, dried",62101050,1,303,3,78.62,0,11.8,4.8,47,0,1.006,2.28,0,0.087,0.9,66.33,0.065,17.22,0.153,0.111,0.104,0.62,39,0.219,1.3,24,64,531,32,0.28,25,0,0.146,5.5,1.52,5.7
Mango,"Mango, dried",62114050,11,786,29,78.58,0,23.7,2.4,52,0,2,2.45,0,0.085,2.1,66.27,0.062,16.6,0.439,0.222,0.287,1.18,0,0.3,0.23,20,50,279,162,0.3,67,0,0.334,42.3,4.02,13.2
Chewing gum,"Chewing gum, regular",91801000,0,0,0,96.7,0,0,2.4,0,0,0,0,0,0,0.6,66.08,0,2.6,0.079,0.137,0.042,0.3,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Nutritional powder mix (Carnation Instant Breakfast),Nutritional powder mix (Carnation Instant Breakfast),95201000,0,0,0,66.2,12,148.4,0.4,0,0,14.24,19.9,625,0.2,12.1,65.8,0.85,7.4,0.314,0.278,0.56,1.4,285,1.425,12.82,228,427,947,385,8.55,625,1.71,1.14,76.9,9.37,90
Nutritional powder mix,"Nutritional powder mix, NFS",95220000,0,0,0,66.2,12,148.4,0.4,0,0,14.24,19.9,625,0.2,12.1,65.8,0.85,7.4,0.314,0.278,0.56,1.4,285,1.425,12.82,228,427,947,385,8.55,625,1.71,1.14,76.9,9.37,90
Caramel,"Caramel, flavor other than chocolate",91703020,0,2,0,77,7,8,0,0,0,0.148,4.6,11,0.256,1.8,65.5,0.103,8.5,1.542,3.478,2.476,8.1,138,0.018,0.14,17,114,214,245,0.44,12,0.3,0.056,0.4,0.46,1.8
Raisins,Raisins,62125100,0,0,0,79.32,0,11.1,4.5,0,0,0.766,3.3,0,0.125,0.6,65.18,0.106,15.46,0.024,0.053,0.094,0.25,62,0.272,1.79,36,98,744,26,0.36,0,0,0.174,2.3,0.12,3.5
Strawberry drink syrup,Strawberry drink syrup,91301130,0,0,0,65.1,0,0,0,0,0,0,0,0,0.011,0.4,65,0.007,34.82,0,0,0,0.02,0,0.007,0.03,1,0,1,0,0.06,0,0,0,0,0,0
